Uptake,Pro_plum,Prop2,Pump,Cost_diff,WTP
41.84466975,0.097545626,0.887350535,555.66,0.603,0.191
31.21370214,0.053387169,0.933602512,621.805,0.566,0.186
41.69701742,0.022022333,0.960297767,546.049,0.427,0.164
69.18988089,0.01540806,0.958855401,536.951,0.507,0.186
23.67358992,0.960960961,0.03003003,432.397,0.553,0.145
35.08219313,0.981989357,0.011051985,440.017,0.66,0.148
50.56600059,0.066949788,0.915063702,582.109,0.488,0.175
32.15867704,0.70514064,0.288069835,488.154,0.674,0.181
36.83433409,0.289212207,0.691980128,523.12,0.691,0.199
32.88709519,0.988351254,0.008960573,455.335,0.607,0.151
70.56796929,0.066360469,0.917168198,500.535,0.571,0.195
25.50447879,0.449358974,0.531410256,552.585,0.577,0.162
76.08032287,0.008827629,0.97738888,604.365,0.46,0.199
14.34196279,0.292576419,0.56768559,556.882,0.456,0.148
27.99488139,0.976115651,0.021370207,603.382,0.676,0.146
15.09006792,0.317406143,0.488054608,621.052,0.611,0.163
63.31331824,0.003691399,0.978774456,632.917,0.439,0.187
13.10168324,0.861182519,0.11311054,603.649,0.538,0.144
37.52337829,0.03046258,0.95110944,580.609,0.539,0.181
18.44669751,0.925840093,0.047508691,555.831,0.686,0.143
43.06526233,0.42866005,0.562344913,580.329,0.654,0.193
22.35456246,0.619850187,0.359550562,626.821,0.658,0.179
16.76346097,0.809210526,0.159539474,591.33,0.513,0.154
58.30298258,0.487010309,0.504536082,471.44,0.651,0.189
26.83334974,0.333548804,0.656108597,513.819,0.48,0.155
38.03523969,0.145266386,0.836719049,505.008,0.505,0.168
45.6639433,0.739690722,0.25257732,459.871,0.643,0.19
66.00059061,0.032976827,0.956327986,426.557,0.484,0.197
66.97509597,0.040263797,0.949496703,514.829,0.485,0.195
27.79801162,0.120789779,0.842044135,581.207,0.521,0.161
21.53755291,0.954505687,0.036745407,446.929,0.528,0.143
17.49187912,0.74182243,0.235981308,633.26,0.415,0.143
39.47238901,0.109143477,0.863028551,600.849,0.665,0.19
13.87931883,0.228310502,0.689497717,523.7,0.404,0.142
25.6619746,0.698100407,0.288331072,566.471,0.611,0.169
69.76080323,0.02554507,0.958184185,532.915,0.477,0.189
29.74702234,0.1066313,0.872679045,623.145,0.471,0.158
51.43222758,0.025163094,0.965051258,481.43,0.456,0.188
17.02923516,0.89037037,0.08,535.735,0.522,0.14
20.70085638,0.915506035,0.063138347,601.014,0.647,0.157
13.37730092,0.772727273,0.174641148,541.718,0.513,0.148
29.32375234,0.065430191,0.907264297,591.228,0.601,0.199
41.29343439,0.27396329,0.713460231,488.268,0.431,0.151
45.45723004,0.017887088,0.96059251,562.687,0.411,0.159
15.20818978,0.866995074,0.096880131,508.131,0.638,0.163
15.92676445,0.411184211,0.508223684,584.856,0.591,0.17
15.0211635,0.558441558,0.394805195,599.365,0.506,0.158
16.60596515,0.69889065,0.264659271,631.551,0.482,0.149
20.14962103,0.632596685,0.330570902,502.867,0.478,0.154
18.38763658,0.953827461,0.037667072,463.013,0.53,0.143
12.41263904,0.550151976,0.291793313,604.644,0.695,0.172
22.94517177,0.941618015,0.039199333,450.42,0.624,0.147
21.35052663,0.936473165,0.048192771,462.089,0.585,0.143
69.97735998,0.240203312,0.755533694,446.928,0.537,0.185
24.49059947,0.141826923,0.834935897,626.442,0.604,0.177
25.0615218,0.97258567,0.019314642,529.326,0.685,0.172
